topic_num	topic_size	topic_words	theme_label	Notes	theme_label_short
0	512	stoeptegel minutenlang fietssleutel snelbinder bagagedrager gadverdamme vooroverbuigen fietstas shag pulken sluiven waxinelicht terrasstoel oksel dwarelen veren wijdbeens boterhamzak knisperen ribbelen gister tl-licht langsfietsen gifgroen wiebellen kokosmat schuren glasbak sjorten overbuur wegfietsen lauw onbestemd vensterbank bedrand sliert wiebelig vondelpark zwabberen voorovergebogen wc-deur schemer kuipstoel aanfietsen trapper bollen vitrage langslopen lantaarnpaal wc	city, travel and transport		city & travel
1	415	implementeren bedrijfscultuur managementteam management implementatie managen topmanagement manager klanttevredenheid medewerker productontwikkeling innoveren stakeholder innovatief leidinggevend bedrijfsresultaat organisatiestructuur innovatie managementboek bedrijfsvoering ceo faciliteren werkproces managementstijl cultuurverandering strategie commitment consultants werkwijs concurrentievoordeel magen zelfsturen feedback doelstelling teamleid werkomgeving businessmodel klantenservice werkvloer marketing kernactiviteit tool topmanager sale projectmanager randvoorwaarde strategieën bedrijfstak leiderschapsstijl bedrijfsmodel	economy and work		economy & work
2	383	jemig gênant sorry jeetje irritant verpessen godzijdank jezusmina vrolijken oké opvrolijken gknant verpesten pub goh wauw date maf grnant oep expres hoi waterkoker flirterig bekakken godsamme bofkont zuid-londen maff wodka-tonic sneum bobkapsel getver hallo suff bristol verjaardagskaart fish-and-chips kate afhaalmaaltijd ontbijtbar jee exen knettergek rotdag stoms mimen ’-blik jakkes hartverzakking	behaviours/feelings		behaviours / feelings
3	320	thuisgekomen koopavond koffiedrinken ongezellig tegengevallen marleen halfuurt koffiezet vakantieplan woonkeuken herfstvakantie vanmiddag meevallen doeddoen gezelligs ontbijtboel boterhammetj theeglas kerktijd rianne herademen meewillen collegaat mevvallen bungalowpark jeroen schemerlampje huispak voordeurbel duster omvligen janneke leuks buurvrouw tuintafel jochem joh onverwachts terechtken schoonouder koffietijd zometeen theeglaas hèhè tobben afbellen alvast met­een thuisblijven wegfietsen	behaviours/feelings		behaviours / feelings
4	311	theologisch verkondiging theoloog godswege theologie bijbels prediking nieuwtestamentisch christelijk geloofsleven christen-zijn geloofsbeleving missionair theolog dogmatiek geloofsleer presentie geloofsgemeenschap belijdenis leerstellig exegese evangelie drie-enig radicaliteit doorwerking eschatologisch sacramenteel seculaliseren bijbelwoord belijden omkeer navolging kerkelijk kerkgeschiedenis niet-christenen verwoording heil exegeten oudtestamentisch gelovig hermeneutisch geloofsbelijdenis thematiseren dogmatisch liturgie pastoraat catechese gelovigen menswording christus	religion, spirituality and philosophy		reli. / spirit. / phil.
5	309	verzinken verglijden knook wiekslag ginds einder schemer zwerk donkerte vlieden donkeren dolen ijl bladstil eender dulen wieken plopen gewemel duiven schrijten weerom dichten dwarelen vergeefsheid floer golving droef vervluchtigen grondeloos avondrood azuur gedicht huiver vervliegen lichtloos warrelen wentelen afgrondelijk ontbladeren duizendvoudig onverhoeds eindeloosheid dor verstenen verdolen dooreen verstuiven allengs weerschijn	supernatural, fantasy and sci-fi	niet zeker hierover, maar voor mij hebben die woorden met horror of zoiets te maken	super., fantasy & sci-fi
6	309	anderendaags miserie nonkel nochtans plezant triestig luidop plots sukkelaar goesting stilaan onnozelaar overschouwen zot deurgat onbestaand kot arduin steenweg vastnemen zwalpen proop parking tateren plastiek komaan verstomming kuisen proficiat zeveren allicht ginder west-vlaams pletsen behangpapier allez voormiddag monkelen ploots nazinderen pintje ontgoochelen schoonbroer gij nadien ostentatief verwittigen ijle voordien jolijt	other	het lijkt me dat het een verzameling van Vlaamse woorden is	other
7	304	zing hebreeën hem ontferming psalm gods vs. jesaja heere filippenzen efeziërs here mattheüs matteüs korintiërs jes. kolossenzen nbg aangezicht jezus’ mat. psalmist ps. luc. bijbelgedeelte spreuken joh. wonderbaar moeit golgota zaligmaker galaten jakobus heiland hemeel nbv heerlijkheid genade ongerechtigheid genadig discipel hemels handelingen dienstknecht rom. beden trouwe getsemane omkeer ef.	religion, spirituality and philosophy		reli. / spirit. / phil.
8	299	stockholm göteborg andersson malmö henrik zweeds zweden nils per zomerhuisje torsten oslo ove kopenhagen gunnar johansson onderzoeksleider ola tell jana lund mats bezoekersstoel expressen uppsala lichtkegel terrasdeur björn harddisk wide vooronderzoek villawijk carl vakantiewoning grindweg assad axel larsson neuswortel line politieacademie franck vervolgvragen arne zweed susanne noors munch siri wandklok	crime;geography and setting	heeft iets met Zweden te maken, weet niet waarom maar doet me denken aan zweedse detectives	crime;geography & setting
9	261	pliffen grinneken stamel knipogen fleppen giechelpen knikpen onwijs giechelten glurten joh grijns pff mwah sputten pfff ehm superlief superleuk staar kriebel wow gadver doei date relaxed hartstikke sjiken lingeriesetje he-le-maal sorry goh doorhefben supermooi wiebellen frinzen kirten bijkletsen gadverdamme hartverzakking gatver zoenen superknap grissen sneken leuks bekruipen appje superblij huispak	behaviours/feelings		behaviours / feelings
